x,y,z,label
113.34,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
113.34,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
100,26.66,233.34,1
100,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
100,13.33,233.34,1
113.34,13.33,233.34,1
106.67,6.67,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,26.66,233.34,1
106.67,13.33,233.34,1
100,13.33,233.34,1
100,13.33,233.34,1
100,6.67,233.34,1
106.67,6.67,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
113.34,13.33,233.34,1
106.67,13.33,233.34,1
100,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
100,26.66,233.34,1
113.34,13.33,233.34,1
100,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
120,26.66,213.33,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
100,13.33,233.34,1
106.67,6.67,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
100,26.66,233.34,1
113.34,13.33,233.34,1
106.67,13.33,233.34,1
106.67,13.33,233.34,1
100,13.33,233.34,1
106.67,13.33,233.34,1
106.67,26.66,233.34,1
106.67,26.66,233.34,1
113.34,13.33,233.34,1
100,13.33,233.34,1
106.67,13.33,233.34,1
106.67,26.66,233.34,1
113.34,13.33,233.34,1
100,13.33,233.34,1
100,6.67,233.34,1
106.67,26.67,180,1
106.67,13.33,186.67,1
86.67,26.66,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
106.67,20,186.66,1
106.67,13.33,186.66,1
106.67,20,186.66,1
106.67,6.67,186.66,1
106.67,13.33,180,1
106.67,13.33,193.34,1
106.67,6.66,186.67,1
106.67,13.33,180,1
106.67,13.33,186.67,1
106.67,13.33,186.67,1
106.67,6.67,186.67,1
106.67,13.33,186.67,1
100,13.33,213.34,1
100,20,213.34,1
100,13.33,213.34,1
100,20,213.34,1
93.33,20,213.34,1
93.33,13.33,213.34,1
93.33,20,213.34,1
93.33,20,213.34,1
93.33,13.33,213.34,1
93.33,13.33,213.34,1
93.33,20,213.34,1
80,13.33,213.34,1
93.33,20,213.34,1
93.33,20,213.34,1
93.33,13.33,213.34,1
80,20,213.34,1
100,20,213.34,1
100,20,213.34,1
100,20,213.34,1
86.67,20,213.34,1
86.67,26.67,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
93.33,20,213.34,1
93.33,20,213.34,1
100,20,213.34,1
93.33,20,213.34,1
100,20,213.34,1
100,13.33,213.34,1
100,20,213.34,1
93.33,13.33,213.34,1
100,20,213.34,1
100,13.33,213.34,1
100,26.67,213.34,1
100,20,213.34,1
100,20,213.34,1
100,20,213.34,1
86.67,20,213.34,1
86.67,20,213.34,1
100,20,213.34,1
86.67,20,213.34,1
100,20,213.34,1
100,20,213.34,1
100,20,213.34,1
86.67,13.33,213.34,1
93.33,20,213.34,1
93.33,20,213.34,1
100,20,213.34,1
100,13.33,213.34,1
80,20,213.34,1
93.33,20,213.34,1
86.67,20,213.34,1
100,20,213.34,1
80,13.33,213.34,1
146.66,26.67,320,1
293.33,26.66,300,1
293.33,33.33,306.66,1
46.67,0,166.66,1
40,0,166.66,1
40,0,166.66,1
33.34,6.67,166.66,1
33.34,6.67,166.66,1
26.67,0,166.66,1
40,6.67,113.33,0
53.33,0,106.67,1
33.34,13.33,106.67,1
33.34,13.33,106.67,0
33.33,20,106.67,1
33.33,13.33,106.67,1
40,20,106.67,1
33.33,13.33,106.67,1
40,13.33,106.67,1
53.33,13.33,106.67,1
46.66,13.33,106.67,1
40,20,106.67,1
40,13.33,106.67,1
40,20,106.67,1
40,6.67,106.67,1
33.33,6.67,106.67,1
33.33,6.67,106.67,1
33.33,6.67,106.67,1
46.66,6.67,106.67,1
46.66,6.66,106.67,1
53.34,6.66,106.67,1
33.34,6.67,106.67,1
46.67,6.67,106.67,1
46.67,0,106.67,1
40,13.33,106.67,1
40,13.33,106.67,1
53.33,13.33,106.67,1
40,0,106.67,1
33.34,13.33,106.67,1
40,13.33,106.67,1
33.34,13.33,106.67,1
40,6.67,113.34,1
40,13.33,113.34,1
46.67,6.66,113.34,1
46.67,6.66,113.34,1
40,13.33,113.34,1
46.67,6.66,113.34,1
40,13.33,113.34,1
40,0,113.34,1
53.33,13.33,113.34,1
46.67,0,113.34,1
40,6.66,113.34,1
46.67,6.66,113.34,1
46.67,6.66,113.34,1
46.67,6.66,113.34,1
40,6.66,113.34,1
40,6.66,113.34,1
46.67,6.66,113.34,1
40,6.66,113.34,1
60,6.66,113.34,1
46.67,13.33,113.34,1
40,13.33,113.34,1
40,13.33,113.34,1
40,6.66,113.34,1
46.67,6.66,113.34,1
40,6.66,113.34,1
40,6.66,113.34,1
40,13.33,113.34,1
40,0,113.34,1
40,6.66,113.34,1
40,6.66,113.34,1
40,6.67,113.34,1
40,0,113.34,1
40,13.33,113.34,1
33.33,0,113.34,1
66.67,6.67,140,1
100,6.67,193.33,1
40,13.33,113.34,0
40,13.33,113.34,0
53.33,20,113.34,0
53.33,13.33,113.34,0
53.33,13.33,113.34,0
40,13.33,113.34,0
53.33,13.33,113.34,0
53.33,13.33,113.34,0
40,13.33,113.34,0
26.66,6.67,133.33,1
26.66,6.67,133.33,1
26.66,6.67,133.33,1
26.66,6.67,133.33,1
86.67,13.33,206.67,1
80,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,13.33,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,13.33,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
86.67,13.33,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,26.66,206.67,1
93.34,26.66,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
93.34,13.33,206.67,1
80,20,206.67,1
80,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
80,26.67,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
93.34,13.33,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
93.34,26.67,206.67,1
86.67,20,206.67,1
80,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,13.33,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
80,20,206.67,1
93.34,20,206.67,1
80,20,206.67,1
86.67,13.33,206.67,1
80,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
86.67,20,206.67,1
80,20,206.67,1
80,20,206.67,1
80,20,206.67,1
80,20,206.67,1
86.67,13.33,206.67,1
80,20,206.67,1
86.67,13.33,206.67,1
86.67,13.33,206.67,1
80,20,206.67,1
80,20,206.67,1
93.34,13.33,206.67,1
86.67,20,206.67,1
80,20,206.67,1
80,20,206.67,1
86.67,20,206.67,1
80,20,206.67,1
80,13.33,206.67,1
80,20,206.67,1
86.67,13.33,206.67,1
80,20,206.67,1
80,20,206.67,1
86.67,13.33,206.67,1
86.67,20,206.67,1
93.34,20,206.67,1
86.67,20,206.67,1
80,20,206.67,1
80,20,206.67,1
86.67,13.33,206.67,1
93.34,20,206.67,1
86.67,13.33,206.67,1
80,20,206.67,1
80,20,206.67,1
80,20,206.67,1
53.33,6.67,120,1
53.33,6.67,120,1
40,6.67,120,1
33.33,13.33,160,0
40,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,0,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,0,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,0,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,0,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,13.33,160,0
33.33,0,160,0
33.33,13.33,160,0
46.67,13.34,120,1
46.66,0,120,1
53.33,6.67,120,1
53.33,6.67,120,1
53.33,13.34,120,1
40,13.34,120,1
40,6.67,120,1
40,6.67,120,1
40,6.67,120,1
40,6.67,120,1
40,20,120,1
40,6.67,120,1
40,13.33,120,1
40,6.67,120,1
46.67,13.33,120,1
40,6.67,120,1
40,13.33,120,1
46.67,6.67,120,1
40,6.67,120,1
40,0,120,1
40,20,120,1
53.33,13.34,120,1
40,6.67,120,1
40,6.67,120,1
53.33,6.67,120,1
40,6.67,120,1
40,0,120,1
40,0,120,1
53.33,20,120,1
40,0,120,1
40,6.67,120,1
40,6.67,120,1
46.67,0,120,1
40,13.33,120,1
40,6.66,120,1
53.33,6.66,120,1
46.66,6.66,120,1
53.33,6.66,120,1
53.33,6.66,120,1
53.33,6.66,120,1
46.66,6.66,120,1
53.33,6.66,120,1
46.66,6.66,120,1
53.33,6.66,120,1
46.67,6.66,120,1
46.67,6.66,120,1
46.67,6.66,120,1
46.67,0,120,1
53.34,6.67,120,1
53.34,6.67,120,1
40,6.67,120,1
46.67,13.33,120,1
53.34,13.33,120,1
46.67,6.67,120,1
46.67,0,120,1
53.33,6.66,120,1
46.67,6.67,120,1
46.67,6.67,120,1
46.67,6.66,120,1
53.34,6.67,120,1
40,6.67,120,1
40,6.67,120,1
40,6.67,120,1
40,6.67,120,1
46.67,6.67,120,1
33.33,13.33,160,1
53.33,13.33,133.34,1
26.66,6.67,146.67,1
60,20,140,1
60,13.33,133.33,1
53.33,6.67,146.66,0
40,6.67,113.34,1
40,6.67,113.34,1
40,6.67,113.34,1
40,0,113.34,1
53.33,6.67,113.34,1
40,6.67,113.34,1
46.66,13.34,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
40,6.67,113.34,1
46.66,13.34,113.34,1
46.66,13.34,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
33.33,6.67,113.34,1
53.33,13.34,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,0,113.34,1
53.33,6.67,113.34,1
40,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
60,6.67,113.34,1
46.66,6.67,113.34,1
40,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
40,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,20,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.66,20,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,20,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
33.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
53.33,13.33,113.34,1
46.67,0,113.34,1
46.67,0,113.34,1
46.67,13.33,113.34,1
46.67,13.33,113.34,1
40,13.33,113.34,1
53.33,20,113.34,1
53.33,13.33,113.34,1
40,6.67,113.34,1
86.67,6.66,200,0
40,6.66,113.34,1
40,13.33,113.34,1
40,0,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
40,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.67,13.33,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
40,6.67,113.34,1
53.33,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,0,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
46.66,0,113.34,1
46.66,6.67,113.34,1
46.66,0,113.34,1
46.66,6.67,113.34,1
46.66,0,113.34,1
46.66,6.67,113.34,1
46.66,6.67,113.34,1
53.33,6.67,113.34,1
53.33,6.67,113.34,1
46.67,6.67,113.34,1
40,6.67,113.34,1
53.33,6.67,113.34,1
126.66,26.66,253.34,0
126.66,13.33,246.67,0
126.66,20,240,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,240,0
126.66,13.33,246.67,0
126.66,20,246.67,0
126.66,20,246.67,0
126.66,20,246.67,0
126.66,13.33,246.67,0
126.66,13.33,260,0
126.66,20,260,0
100,13.33,266.67,0
126.66,26.66,253.34,0
126.66,13.33,253.34,0
113.33,26.66,266.67,0
126.66,26.66,246.67,0
126.66,26.66,246.67,0
126.66,13.33,246.67,0
100,26.66,266.67,0
113.33,26.66,266.67,0
100,13.33,266.67,0
126.66,13.33,253.34,0
126.66,13.33,233.33,0
126.66,13.33,240,0
126.66,26.66,253.34,0
126.66,26.66,246.67,0
113.33,13.33,266.67,0
126.66,13.33,246.67,0
100,26.66,266.67,0
100,13.33,266.67,0
126.66,13.33,253.34,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,26.66,240,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,240,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,240,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,26.66,246.67,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,246.67,0
126.66,13.33,240,0
126.66,20,240,0
126.66,13.33,240,0
126.66,13.33,233.33,0
126.66,13.33,240,0
126.66,13.33,246.67,0
106.67,13.34,193.34,0
106.67,13.34,193.34,0
106.67,6.67,193.34,0
106.67,13.34,206.67,0
106.67,13.34,193.34,0
106.67,13.34,193.34,0
106.67,13.34,206.67,0
106.67,13.34,193.34,0
106.67,13.34,193.34,0
106.67,13.34,193.34,0
106.67,13.34,193.34,0
106.67,13.34,193.34,0
106.67,13.34,206.67,0
86.67,13.34,226.67,0
106.67,13.34,193.34,0
106.67,13.34,206.67,0
100,6.67,226.67,0
86.67,13.34,226.67,0
100,13.34,226.67,0
86.67,13.34,226.67,0
106.67,26.67,206.67,0
86.67,6.67,226.67,0
86.67,13.34,226.67,0
106.67,6.67,193.34,0
86.67,6.67,226.67,0
106.67,13.34,206.67,0
100,13.34,226.67,0
106.67,6.67,220,0
106.67,13.34,206.67,0
106.67,13.34,193.34,0
106.67,13.34,220,0
86.67,6.67,226.67,0
106.67,13.34,206.67,0
53.33,6.67,120,1
40,13.33,120,0
73.33,13.33,186.67,0
80,13.33,186.67,0
80,13.33,186.67,0
73.33,13.33,186.67,0
46.67,13.33,153.33,0
33.33,20,160,1
33.33,6.67,160,1
60,6.67,133.33,1
53.34,6.67,133.33,1
60,6.67,133.33,1
53.33,6.67,133.33,1
46.67,20,133.33,1
46.67,0,133.33,1
60,6.67,133.33,1
53.34,6.67,133.33,1
53.34,6.67,133.33,1
60,0,140,1
33.34,6.66,120,1
40,6.66,120,1
40,6.66,120,1
53.34,6.66,120,1
40,13.33,120,1
40,6.66,120,1
40,6.66,120,1
66.67,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,13.33,120,1
53.33,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
53.33,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
53.33,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
40,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
40,6.66,120,1
46.67,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
53.33,6.66,120,1
33.34,6.66,120,1
53.33,6.66,120,1
46.67,6.66,120,1
53.33,6.66,120,1
40,6.66,120,1
